Anon Student Id;Cuenta de Problem Name;Cuenta de Step Name;Suma de Step Duration (sec);Suma de Correct Step Duration (sec);Suma de Error Step Duration (sec);Suma de Correct First Attempt;Suma de Problem View;Suma de Corrects;Suma de Incorrects;Suma de Hints;Duracion Promedia por paso (sec);Durancion promedia pasos correctos;Duracion promedia de pasos incorrectos;Promedio de pasos resueltos en primer intento
11fnXrq9Jf;5629;5629;141842;75273;66570;4171;10502;6817;2282;2244;25;11;29;0.74
12M70dm49w;4185;4185;107220;58088;49132;3244;6947;4828;1869;972;26;12;26;0.78
12ss7J5ug6;743;743;21794;6267;15527;448;817;971;489;764;29;6;32;0.60
12ws2Vy47j;1117;1117;22041;11188;10853;933;1338;1286;376;273;20;9;29;0.84
13yR9KFHCI;250;250;7036;3263;3773;197;250;273;137;59;28;12;28;0.79
15V4J8fDs3;1349;1349;54755;14790;39965;753;3959;1812;1067;1264;41;8;37;0.56
162lfGskK2;64;64;3335;1366;1969;53;98;71;23;4;52;19;86;0.83
16zN4n2fFO;875;875;35008;20857;14151;706;961;947;307;33;40;22;46;0.81
1793z4bHHR;1095;1095;28744;17332;11412;949;1327;1199;307;263;26;14;37;0.87
183ppvOXp8;1019;1019;24947;15340;9607;870;1392;1154;272;95;24;13;35;0.85
19UbXBlPPK;45;45;1434;393;1041;28;45;45;42;3;32;9;25;0.62
1bJbgQ32E3;5865;5865;191772;81910;109862;4302;9656;6882;3597;2458;33;12;31;0.73
1CI7f2R98c;2214;2214;46960;27917;19043;1811;3175;2504;1085;594;21;11;18;0.82
1DlUV9t495;628;628;26756;16533;10223;505;816;709;181;150;43;23;56;0.80
1hQzlO49di;274;274;21782;11091;10691;208;423;279;153;25;79;40;70;0.76
1iPV6aca5w;21;21;1134;564;570;17;29;20;7;1;54;28;81;0.81
1k3GIfwBw6;900;900;22936;13225;9711;760;1245;1063;256;147;25;12;38;0.84
1kKxS8urAH;6185;6185;126755;61632;65124;4596;11520;7464;3200;2218;20;8;20;0.74
1Nf2932GeH;298;298;8923;4448;4475;227;661;329;167;14;30;14;27;0.76
1to8tgu4IT;1924;1924;70223;36504;33719;1523;3657;2197;874;374;36;17;39;0.79
1wJ0kz1I0l;805;805;28010;8212;19798;437;1038;1156;769;992;35;7;26;0.54
1z5YH40155;140;140;8443;1450;6993;83;164;137;166;32;60;11;42;0.59
229ciAoz51;224;224;9471;4067;5404;128;1104;258;191;169;42;16;28;0.57
233EMC2k7k;698;698;17897;11518;6379;566;1348;918;236;218;26;13;27;0.81
23T7Up1oQ6;64;64;1929;1084;845;56;64;64;17;9;30;17;50;0.88
242fhbKRf9;4559;4559;190978;88761;102217;3234;10652;5390;1858;2306;42;16;55;0.71
276487SwvF;1044;1044;36218;19689;16529;815;2221;1164;464;230;35;17;36;0.78
29U6L12O3k;148;148;3368;1186;2182;102;148;148;66;31;23;8;33;0.69
2AMmebFl86;2079;2079;50225;24084;26141;1524;3928;2447;1120;345;24;10;23;0.73
2HCz3wr27b;59;59;1298;746;552;51;59;59;15;1;22;13;37;0.86
2IaH8665Ha;3272;3272;116290;59591;56699;2508;5102;3771;1881;922;36;16;30;0.77
2J2SH6Fk63;3473;3473;106563;57689;48874;2720;5385;4030;1715;698;31;14;28;0.78
2kb387yOiG;2392;2392;33240;18774;14466;1882;3722;3324;577;1177;14;6;25;0.79
2oNLCndtam;3401;3401;87836;29591;58245;2401;5130;3851;2275;1791;26;8;26;0.71
2rSW5fZ50h;580;580;14118;5383;8736;439;759;642;181;187;24;8;48;0.76
2x0Z9q6jD0;394;394;3970;1200;2770;261;819;457;343;78;10;3;8;0.66
3008m5T78s;958;958;21020;8766;12254;603;1218;1110;344;730;22;8;36;0.63
31ApG55XoV;1360;1360;55905;23645;32261;1000;2245;1527;887;316;41;15;36;0.74
34f4oB5Cod;4077;4077;78767;42949;35818;3163;8381;4823;1852;1658;19;9;19;0.78
35F52CG565;475;475;16092;8040;8052;389;758;523;169;91;34;15;48;0.82
38a8p8Zl0z;987;987;29158;8464;20694;604;1255;1167;426;851;30;7;49;0.61
39Uc7ru04l;5113;5113;130313;47124;83189;3296;22504;7181;3389;4042;25;7;25;0.64
3C1dH8H8v3;2383;2383;63715;37797;25918;1984;3515;2733;814;108;27;14;32;0.83
3EWyQLUo83;177;177;2650;2072;578;152;299;242;35;28;15;9;17;0.86
3g1Pl94peh;177;177;5399;4167;1232;149;235;182;45;33;31;23;27;0.84
3hSu07XfGd;4238;4238;59716;36968;22748;3588;5022;4856;1193;679;14;8;19;0.85
3k85qY4Y2B;810;810;27815;11698;16117;566;1038;1069;624;431;34;11;26;0.70
3v8ytbUoc6;465;465;14182;9519;4663;405;728;567;140;40;30;17;33;0.87
3Whv9UbPsR;79;79;5917;1211;4706;51;108;72;72;47;75;17;65;0.65
40ARhM4nkF;250;250;6030;3590;2440;199;278;250;106;87;24;14;23;0.80
41qrfb88lU;1058;1058;28894;15738;13156;837;1696;1191;468;193;27;13;28;0.79
42FRuGgL06;165;165;3100;2245;855;143;192;167;41;0;19;13;21;0.87
443ptPwtPd;337;337;13535;8461;5074;265;799;453;120;37;40;19;42;0.79
448d2Kv3hw;810;810;20155;13660;6495;686;1016;931;256;198;25;15;25;0.85
45euP7C062;741;741;16852;7919;8933;596;1659;879;364;96;23;9;25;0.80
45oTz6NVkr;294;294;6730;2244;4486;161;302;309;74;272;23;7;61;0.55
45TTYcotWk;4191;4191;116775;49670;67105;2982;9433;4908;2228;1234;28;10;30;0.71
46K8Eq75fJ;254;254;16347;6196;10151;158;419;289;155;175;64;21;65;0.62
46vx97eEK0;120;120;6187;1838;4349;81;170;135;62;71;52;14;70;0.68
46z59pQP58;3141;3141;80711;47120;33591;2550;4615;3896;947;1006;26;12;35;0.81
49kt2kaD8d;228;228;8524;5239;3285;198;277;239;52;19;37;22;63;0.87
4ajdr1a4Kc;730;730;25363;13596;11767;556;1345;862;389;172;35;16;30;0.76
4EUt9uDfjG;60;60;5549;947;4602;35;151;57;92;16;92;17;50;0.58
4k3099QrCN;9;9;338;313;25;8;9;9;1;0;38;35;25;0.89
4NQzySrw2C;239;239;14907;5604;9303;161;281;240;168;31;62;23;55;0.67
4pzSijxuK6;5743;5743;78464;34411;44053;4250;13303;6999;2876;2444;14;5;15;0.74
4tR4H9u4Zn;179;179;12028;5597;6431;129;625;239;143;44;67;23;45;0.72
4u483r4C0S;321;321;12139;4321;7818;229;373;376;242;121;38;11;32;0.71
4X3016rdOZ;5556;5556;161372;71179;90193;4064;12250;6282;4029;1520;29;11;22;0.73
50r4Tfl105;30;30;408;184;224;23;30;30;10;4;14;6;22;0.77
517LN52NOL;1362;1362;45565;24716;20849;1086;2078;1540;551;152;33;16;38;0.80
52vEY7f17k;1998;1998;70667;28175;42493;1496;3216;2366;1150;423;35;12;37;0.75
55jl7IFg3z;769;769;15871;11742;4129;712;914;874;88;47;21;13;47;0.93
562xzTNuI6;1786;1786;39200;21957;17243;1375;2614;2201;1062;563;22;10;16;0.77
56dTCKdr74;2848;2848;75569;53911;21658;2508;4178;3373;578;306;27;16;37;0.88
589M2uPIY4;2395;2395;83835;33230;50604;1685;4506;2771;1963;905;35;12;26;0.70
5a5qA8VLfI;6481;6481;185080;76581;108499;4650;12220;7819;5649;2167;29;10;19;0.72
5AhC6ORULJ;1027;1027;36304;18238;18066;810;1330;1147;448;283;35;16;40;0.79
5cuKF3lL4D;376;376;29038;6211;22827;223;495;365;882;94;77;17;26;0.59
5ddRYL0LBA;167;167;3567;2114;1453;140;190;186;42;40;21;11;35;0.84
5ey2xUDZTA;4634;4634;100775;45929;54846;3584;5955;5192;2410;1597;22;9;23;0.77
5g8708DBB0;82;82;2873;1876;997;66;144;103;43;11;35;18;23;0.80
5gtqSDwEt1;628;628;12359;5255;7104;500;707;680;228;141;20;8;31;0.80
5LMy832c47;4510;4510;100769;63625;37144;3714;6412;5151;1302;705;22;12;29;0.82
5Q69X4zFkC;264;264;10758;5888;4870;201;380;303;117;46;41;19;42;0.76
5rwOvj7Gu3;718;718;19508;11774;7734;619;885;829;256;97;27;14;30;0.86
5S2tY93Oo1;316;316;5963;3957;2006;284;316;326;49;58;19;12;41;0.90
5SXHhHKGxC;1238;1238;31675;17624;14051;1017;1364;1498;469;212;26;12;30;0.82
5VZLSGPT10;2798;2798;118704;73658;45046;2348;3782;3232;843;363;42;23;53;0.84
5x5fHvFFLv;1578;1578;17642;11809;5833;1410;2004;1763;319;48;11;7;18;0.89
5yasLi1Avt;4539;4539;146765;74376;72389;3366;9819;5206;2384;863;32;14;30;0.74
5yM8I4Uut9;904;904;25862;15084;10778;742;1201;1034;495;284;29;15;22;0.82
5ZR29q8c56;1350;1350;49321;23986;25335;1076;1688;1497;543;369;37;16;47;0.80
63r5Aj4EeB;270;270;10813;5067;5746;217;527;299;117;23;40;17;49;0.80
654Dd1132b;125;125;4575;909;3666;71;133;131;91;50;37;7;40;0.57
668lBbaKFE;4335;4335;102552;49189;53363;3305;6823;5190;2713;871;24;9;20;0.76
66Ak255E3j;2502;2502;72794;52688;20106;2150;3367;2905;677;240;29;18;30;0.86
66l1WHbu0M;42;42;2069;294;1775;18;150;45;50;62;49;7;36;0.43
68gXsA3M68;1086;1086;24590;15717;8873;844;1744;1331;487;311;23;12;18;0.78
68xd8R3v7U;14;14;888;358;530;12;14;14;6;3;63;26;88;0.86
694Y3fju01;1687;1687;26027;15510;10517;1475;1842;1893;437;235;15;8;24;0.87
6A16l70g5Q;2293;2293;31278;18075;13203;1956;2581;2865;970;507;14;6;14;0.85
6Ax4SKe470;4873;4873;89127;35383;53744;3503;7150;6139;2502;2461;18;6;21;0.72
6bJ4auIa8L;4663;4663;91175;41267;49908;3402;9818;6083;2529;1892;20;7;20;0.73
6c2Im3PZdL;207;207;9523;5968;3555;177;495;234;67;15;46;26;53;0.86
6d2wZ1x370;1763;1763;43519;27778;15741;1470;2237;2243;650;292;25;12;24;0.83
6dGeA2ZpO4;12;12;543;320;223;8;12;12;3;3;45;27;74;0.67
6e1627evYc;623;623;14382;10698;3684;555;928;717;143;25;23;15;26;0.89
6EjPt2xgrB;424;424;13709;10296;3413;354;469;465;118;51;32;22;29;0.83
6ghrwY35fW;177;177;8263;1637;6626;102;595;200;44;214;47;8;151;0.58
6GOYcFMPF2;402;402;11465;5563;5902;281;1541;502;257;157;29;11;23;0.70
6jCygPdswz;6232;6232;140653;65494;75159;4534;9757;7603;4123;2078;23;9;18;0.73
6Kbx2aEeUm;1069;1069;31461;21109;10352;932;1333;1246;216;225;29;17;48;0.87
6O31vedZbI;2993;2993;75794;47328;28466;2529;4042;3378;779;499;25;14;37;0.84
6pfp3D515O;62;62;5435;961;4474;27;159;131;102;112;88;7;44;0.44
6s8DOcciCW;188;188;12988;8301;4687;140;864;226;91;3;69;37;52;0.74
6W08a98ZQV;1657;1657;60068;31667;28401;1288;2484;1904;997;263;36;17;28;0.78
740FTSQ19O;921;921;26821;14959;11862;743;1255;1087;453;113;29;14;26;0.81
74ouxlq51o;251;251;6320;4074;2246;215;620;323;74;0;25;13;30;0.86
77y7iIIXuv;4251;4251;113637;57099;56538;3173;7284;5148;2338;1347;27;11;24;0.75
78t79xOebG;4327;4327;130147;77393;52754;3644;7377;4832;1279;298;30;16;41;0.84
7a0Ziet39H;192;192;9439;3926;5514;142;268;222;110;32;49;18;50;0.74
7cEjwssz1R;1665;1665;27420;16627;10793;1427;1816;2067;508;305;16;8;21;0.86
7d9J30iOq8;211;211;10678;4699;5979;148;255;215;95;48;51;22;63;0.70
7esK30uHH1;641;641;13264;7381;5883;515;847;725;320;84;21;10;18;0.80
7gJUbn9s1V;249;249;8411;4978;3433;202;286;287;105;68;34;17;33;0.81
7H6yD0xNNn;624;624;4699;1319;3380;449;1744;655;300;143;8;2;11;0.72
7N07jFgyQJ;664;664;17873;9624;8249;489;775;743;452;266;27;13;18;0.74
7o7172ufx2;683;683;15611;12248;3363;625;822;759;98;3;23;16;34;0.92
7oiAa7MlW2;1372;1372;43663;23994;19669;1107;1841;1493;523;240;32;16;38;0.81
7RB2G4NbCn;1276;1276;53338;23300;30038;989;2242;1366;658;141;42;17;46;0.78
7rezIYMwkp;166;166;6420;3559;2861;131;228;165;88;33;39;22;33;0.79
7rP4RofmNF;1057;1057;32810;15225;17585;711;1913;1557;539;628;31;10;33;0.67
7tV3w3qB6t;253;253;16124;7171;8953;184;296;268;132;80;64;27;68;0.73
7XQtQA55O7;301;301;14865;6626;8239;227;415;315;175;29;49;21;47;0.75
7y5NJZ7S6u;4013;4013;180532;104395;76137;3133;8357;4414;1626;497;45;24;47;0.78
7YX78oEdjZ;1097;1097;24457;9997;14460;768;1645;1355;636;457;22;7;23;0.70
80nlN05JQ6;5468;5468;139181;69355;69826;4112;11117;6247;2772;1167;25;11;25;0.75
81E41tTtV9;3913;3913;103320;48412;54908;2977;7676;4559;2449;727;26;11;22;0.76
84qYt0yA5y;1377;1377;54963;24371;30592;1009;3369;1577;693;453;40;15;44;0.73
879eYkR2Wu;4650;4650;69611;31575;38036;3591;5947;5343;1755;1318;15;6;22;0.77
88Uhb8760x;4820;4820;129888;66976;62912;3731;7494;5739;2779;1325;27;12;23;0.77
8a0vIMw4At;470;470;13049;3325;9724;322;567;494;586;357;28;7;17;0.69
8cSO1GK90W;1340;1340;31482;15917;15565;1048;1967;1680;586;589;23;9;27;0.78
8csPxY44OZ;1781;1781;36876;18613;18263;1455;2330;2022;938;373;21;9;19;0.82
8d194g9ccT;2330;2330;36790;20726;16064;1874;3218;2734;1232;634;16;8;13;0.80
8eqtD31y66;524;524;13191;3373;9818;285;703;571;478;349;25;6;21;0.54
8FcKH1d6A2;663;663;20633;8260;12373;503;1012;744;321;140;31;11;39;0.76
8fyjxTqDpQ;431;431;12626;7842;4784;362;596;486;136;24;29;16;35;0.84
8gH5u019ZH;3712;3712;105200;63854;41346;3073;5304;4371;1376;771;28;15;30;0.83
8MG4r9aMdu;282;282;9183;5059;4124;214;882;343;146;135;33;15;28;0.76
8mKdvKlPOw;69;69;1319;616;703;56;127;68;21;3;19;9;33;0.81
8o0mJnIpFH;1639;1639;68155;39172;28983;1344;2833;1897;647;253;42;21;45;0.82
8r7mHkuKX9;356;356;6523;3756;2767;298;406;369;92;59;18;10;30;0.84
8rsfNQdio8;4026;4026;71531;39742;31789;3313;5125;4577;1375;988;18;9;23;0.82
8ZPoEJbXB7;3190;3190;97334;40210;57124;2416;4819;3750;1805;922;31;11;32;0.76
90o991hXMa;1154;1154;23796;8848;14948;784;1964;1244;1045;536;21;7;14;0.68
938jD6Z338;37;37;1193;426;767;27;37;37;28;4;32;12;27;0.73
93YVE85s1x;836;836;18147;11937;6210;743;970;954;180;85;22;13;35;0.89
9493h91NUB;2848;2848;78779;40286;38493;2243;3846;3359;1368;587;28;12;28;0.79
971l4W5kQs;1294;1294;23141;13603;9538;1077;1559;1473;548;300;18;9;17;0.83
9aw67h1Z47;1284;1284;24694;14546;10148;1054;1955;1611;516;332;19;9;20;0.82
9Bj19ocQBw;428;428;18147;11029;7118;347;489;464;163;58;42;24;44;0.81
9EAa0nJjb1;4518;4518;150123;78098;72024;3473;8562;5491;2303;1499;33;14;31;0.77
9eV0EGVC6j;1653;1653;64090;32940;31150;1319;3103;1855;975;138;39;18;32;0.80
9FFmzviIHD;838;838;33264;17626;15638;636;1510;1110;521;228;40;16;30;0.76
9hs21hUG5O;1986;1986;87991;37415;50576;1415;3244;2264;1463;336;44;17;35;0.71
9iQ6dU8Ooj;857;857;17097;8543;8554;665;1068;977;343;336;20;9;25;0.78
9NY3vclR8e;5;5;349;104;245;3;5;5;4;0;70;21;61;0.60
9QD9297moO;5639;5639;218557;76673;141884;3220;16010;7268;5773;6015;39;11;25;0.57
9TvPity5px;1286;1286;29350;17026;12324;972;2477;1667;749;579;23;10;16;0.76
9Ydzn1ubPe;1149;1149;24681;15267;9414;970;1572;1333;445;160;21;11;21;0.84
a0Q6RZpO47;238;238;12771;6428;6343;201;307;248;73;23;54;26;87;0.84
a43DzeQWut;601;601;19907;12597;7310;495;953;673;338;44;33;19;22;0.82
a47O44klh3;332;332;18403;5627;12776;216;830;375;246;210;55;15;52;0.65
A89Fye6g1o;462;462;6594;3097;3497;351;467;485;153;101;14;6;23;0.76
ajPRq0Q08b;4923;4923;110508;60712;49796;3900;7531;5882;2359;917;22;10;21;0.79
apCLF0uF21;2632;2632;92447;63476;28971;2274;3710;3064;587;320;35;21;49;0.86
AQfVkV1aEx;2068;2068;83908;28821;55087;1454;3364;2354;1594;376;41;12;35;0.70
auW9kr3fh6;809;809;19594;10523;9071;643;1132;921;384;176;24;11;24;0.79
Axp5cwW7T8;1373;1373;28914;11779;17135;930;2731;1756;954;844;21;7;18;0.68
b2W4ZO3uLV;2485;2485;75908;37992;37916;1867;3173;2738;1284;1020;31;14;30;0.75
b4NIYojEYn;1077;1077;24552;15536;9016;926;1371;1192;316;206;23;13;29;0.86
b4WRCgbjkN;1795;1795;42356;19846;22510;1207;4623;2548;490;1234;24;8;46;0.67
B5VRXIQ2Ji;364;364;14006;8948;5058;311;494;421;117;67;38;21;43;0.85
B7l5Zfxxu6;1325;1325;42727;18471;24256;874;2682;1860;1031;699;32;10;24;0.66
bcoY3s64sj;4994;4994;163449;70362;93087;3657;12598;6427;3746;1861;33;11;25;0.73
biX0v423q0;679;679;23674;8942;14732;514;1263;739;567;215;35;12;26;0.76
bnNE2RRUsd;168;168;4631;2550;2081;144;278;202;42;20;28;13;50;0.86
Bp1ZMF9Z0G;144;144;5279;2705;2574;110;312;169;85;4;37;16;30;0.76
BpYaFX7hkQ;583;583;27530;8204;19326;435;951;610;491;255;47;13;39;0.75
bt0ZuHaCGY;5153;5153;118769;60686;58083;4027;6703;5936;1828;1595;23;10;32;0.78
bw71rBaKg5;6;6;846;581;265;5;6;6;2;0;141;97;133;0.83
C0qLCIhI0O;266;266;5812;1829;3983;185;524;324;281;49;22;6;14;0.70
C18qWKq212;2959;2959;55736;31088;24649;2480;3498;3226;796;445;19;10;31;0.84
c1zVCHxCEz;5067;5067;97259;53238;44021;4106;7890;5792;1731;1143;19;9;25;0.81
c3Ee3W8hyq;3429;3429;126755;63666;63089;2729;6244;3925;1849;445;37;16;34;0.80
c6LS9kDJe1;173;173;3703;2129;1574;141;189;172;57;44;21;12;28;0.82
c7A4cZK28M;983;983;24840;11945;12895;772;1325;1084;460;336;25;11;28;0.79
c8Gl35DPn4;678;678;14588;7666;6922;541;778;729;176;209;22;11;39;0.80
C8Uu3Cd2YK;31;31;1868;246;1622;12;158;58;63;28;60;4;26;0.39
CaA0123UJL;1285;1285;43430;23069;20361;1049;1735;1423;483;54;34;16;42;0.82
cbgx682J78;128;128;3235;2289;946;106;154;125;37;16;25;18;26;0.83
CEA35ELhs4;518;518;18029;4326;13703;259;1073;702;242;769;35;6;57;0.50
cI0EPqbE61;77;77;1509;602;907;61;132;76;29;0;20;8;31;0.79
ck0GIf31rJ;704;704;29031;9513;19518;479;1448;1003;557;613;41;9;35;0.68
CsX7j87xZ7;88;88;3314;1362;1952;62;89;92;22;39;38;15;89;0.70
ctVOdq1wnp;466;466;23214;7202;16012;331;613;475;351;281;50;15;46;0.71
cua2tdf6zb;43;43;900;388;512;36;43;43;16;5;21;9;32;0.84
cx5L3UEvoR;62;62;883;671;212;56;62;62;8;0;14;11;27;0.90
CZDz8OSRfI;3607;3607;115851;63601;52250;2975;5948;4121;1159;435;32;15;45;0.82
D08sSQFrq3;718;718;12939;7614;5325;587;1264;856;256;174;18;9;21;0.82
D1VwdFc01t;1089;1089;41452;25709;15743;883;1667;1214;395;119;38;21;40;0.81
D431zXkvuC;673;673;15641;8598;7043;535;1090;705;261;49;23;12;27;0.79
D4md1bS6DC;1263;1263;28713;16484;12229;976;2060;1598;488;420;23;10;25;0.77
d6MRvZi66J;342;342;16077;10526;5551;301;1307;425;104;6;47;25;53;0.88
dc35t0IQHq;371;371;14263;7507;6756;293;481;415;112;56;38;18;60;0.79
dD0vTK3gXD;278;278;12331;5483;6848;233;328;290;107;8;44;19;64;0.84
dD5k5322J5;304;304;7437;3781;3656;261;332;311;72;34;24;12;51;0.86
Dk2tRopWQ3;400;400;17890;6416;11474;302;476;426;412;168;45;15;28;0.76
DkXJps09H6;668;668;17383;6343;11040;449;1053;815;386;403;26;8;29;0.67
Dl62lXJbK1;478;478;22953;13265;9689;399;545;508;115;120;48;26;84;0.83
Dmq6441349;3147;3147;75179;44212;30967;2652;4045;3605;1145;363;24;12;27;0.84
dN4g3pRdSO;1052;1052;22440;15911;6529;916;1237;1167;236;128;21;14;28;0.87
doWQeQ3VZC;592;592;19070;8747;10323;455;671;657;219;164;32;13;47;0.77
Dp4If8jfOp;34;34;2017;704;1313;23;37;34;20;1;59;21;66;0.68
dq0JPbG008;156;156;5662;2696;2966;119;156;169;67;38;36;16;44;0.76
DRKr1AyP0r;28;28;1942;638;1304;16;28;35;46;21;69;18;28;0.57
Ds3B2dRQo8;1213;1213;32188;19226;12962;1028;2898;1498;385;171;27;13;34;0.85
DS5ecUMGJi;3078;3078;97276;43473;53803;2259;5087;3696;1610;1621;32;12;33;0.73
dTIQk6Xt3r;2997;2997;111528;63255;48273;2311;4449;3426;1228;848;37;18;39;0.77
dvG32rxRzQ;7266;7266;80228;46828;33400;6058;10301;8324;2043;1658;11;6;16;0.83
dVqVsN8nD8;792;792;22708;10320;12388;588;980;906;1003;543;29;11;12;0.74
DykSLZf35a;411;411;17524;7171;10353;338;2067;582;310;132;43;12;33;0.82
DZXDgO0B3u;468;468;6860;3425;3435;348;910;490;445;65;15;7;8;0.74
E1PaKK3181;243;243;7596;4990;2606;200;274;260;116;83;31;19;22;0.82
E38It7fjg0;4184;4184;104334;55370;48964;3457;5153;4972;1602;636;25;11;31;0.83
e5Ef9RFIF0;76;76;2218;564;1654;55;121;79;73;18;29;7;23;0.72
E5GMl7289p;271;271;10011;4734;5277;195;369;305;95;158;37;16;56;0.72
e7uv9PqtYY;729;729;34333;17437;16896;553;1077;876;391;142;47;20;43;0.76
e95f4UtF4I;53;53;1245;993;252;44;59;57;15;2;23;17;17;0.83
E97430334J;122;122;3830;1035;2795;90;162;129;158;53;31;8;18;0.74
EaUoBdvBdC;1145;1145;19626;9061;10565;915;1229;1425;525;295;17;6;20;0.80
eD0u9WOep7;805;805;38727;22562;16165;648;1037;862;249;33;48;26;65;0.80
EE579r50K3;1165;1165;26407;12606;13801;909;2768;1689;905;324;23;7;15;0.78
EfN583275t;3618;3618;114198;68998;45200;2988;5330;4082;1441;402;32;17;31;0.83
emTkxI1340;170;170;5669;2598;3071;126;171;176;93;33;33;15;33;0.74
eqyJr5jsoU;430;430;19677;12048;7629;364;515;434;204;91;46;28;37;0.85
EV28POlwE4;3693;3693;129598;61763;67835;2708;7192;4271;1988;1027;35;14;34;0.73
EWHJMBPf94;2781;2781;39580;19434;20146;2241;4014;3156;1656;751;14;6;12;0.81
EWo6L00OAS;504;504;15814;4443;11371;327;1531;546;682;286;31;8;17;0.65
Exz0X2naK1;645;645;15761;6648;9113;514;954;702;307;81;24;9;30;0.80
ey9rvMnU57;2715;2715;53065;31482;21583;2321;3299;3345;721;387;20;9;30;0.85
eZRzEYP9oJ;794;794;29624;16259;13365;568;1650;988;349;366;37;16;38;0.72
f1924U65I1;725;725;21473;12393;9080;571;782;778;266;130;30;16;34;0.79
F25axtfCKG;1782;1782;59771;32346;27425;1441;2420;2020;550;321;34;16;50;0.81
f45jOmRd4S;2215;2215;125829;70210;55619;1722;3915;2759;1205;625;57;25;46;0.78
f4fNYL73Z2;1310;1310;52403;25344;27059;1021;2281;1502;621;214;40;17;44;0.78
f9PBq9q8jq;21;21;992;305;687;13;21;21;14;1;47;15;49;0.62
F9WJ1RKM4L;458;458;20459;13360;7099;413;743;536;123;21;45;25;58;0.90
FD5m13We02;267;267;6493;3362;3131;186;696;305;207;34;24;11;15;0.70
Fe9oJAU48c;597;597;22108;13927;8181;489;722;634;327;111;37;22;25;0.82
Fm7ESoRh9v;459;459;15392;11447;3945;401;583;549;82;65;34;21;48;0.87
FrPh305pw8;1264;1264;55762;14841;40921;784;3221;1431;1953;320;44;10;21;0.62
fTCaypQv7J;238;238;3574;1493;2081;163;711;271;116;132;15;6;18;0.68
ftgrG3jT2m;1336;1336;37017;17476;19541;1024;1959;1437;630;273;28;12;31;0.77
Fx8d98DRud;3657;3657;119747;53227;66520;2634;8762;5020;2337;1690;33;11;28;0.72
g209g5Vve6;3645;3645;76422;30221;46200;2579;5864;4358;2548;1427;21;7;18;0.71
GBp6LkJ9VA;218;218;6616;2716;3901;159;235;241;114;102;30;11;34;0.73
GBwY1iQUSw;705;705;23448;14069;9379;569;965;781;278;73;33;18;34;0.81
GD16TzL1x4;405;405;16673;6919;9754;297;576;440;258;98;41;16;38;0.73
Gg6mCdOk6I;435;435;18867;13721;5146;369;477;504;115;13;43;27;45;0.85
GlZwe88Gzo;380;380;10555;4771;5784;315;444;402;153;118;28;12;38;0.83
gPaagaJ8aq;3165;3165;108101;49533;58568;2229;6486;3965;2146;986;34;12;27;0.70
gUgPjz2364;319;319;7287;2720;4568;228;346;330;249;114;23;8;18;0.71
gv1l9iqcam;376;376;10041;5600;4441;316;458;388;148;18;27;14;30;0.84
GVw1FC32GS;738;738;25741;13292;12449;598;969;883;241;148;35;15;52;0.81
Gwk4z777oU;5440;5440;149242;68419;80823;4079;10426;6368;2599;2086;27;11;31;0.75
h0UbH181l8;5282;5282;128301;67121;61180;4127;9014;6489;2810;1569;24;10;22;0.78
h31E235Th5;80;80;3104;1538;1566;61;82;95;44;56;39;16;36;0.76
h4N48ldyLn;43;43;1019;271;748;28;180;41;29;25;24;7;26;0.65
